brand,product_name,price_with_discount,original_price,discount_percentage,image,link,sub_category,category
SIN MARCA,Calamar Entero Fresco Por Kg,$6.990,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/478716-500-auto?v=636710268522170000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/calamar-entero-fresco-por-kg/p,mariscos,pescados-y-mariscos
SIN MARCA,Mix De Mariscos,$14.699,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/809323-500-auto?v=638437053748630000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/mix-de-mariscos/p,mariscos,pescados-y-mariscos
SIN MARCA,Ostiones,$29.900,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/428172-500-auto?v=636495161882630000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/ostiones-2/p,mariscos,pescados-y-mariscos
SIN MARCA,Calamaretes Importados Congelados Por Kg,"$14.992,5",$19.990,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/496139-500-auto?v=636774294768630000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/calamaretes-3/p,mariscos,pescados-y-mariscos
SIN MARCA,Filet De Merluza Congelado Por Kg,$6.990,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/496157-500-auto?v=636774294823000000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/filet-de-merluza-congelado-por-kg-2/p,pescados,pescados-y-mariscos
SUPERBE,Salmón Ahumado Fresco 200 Gr,$10.490,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/423835-500-auto?v=636482196560270000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/salmon-ahumado-fresco-200-gr/p,pescados,pescados-y-mariscos
SUPERBE,Porcion De Salmon Congelado X 300g,$12.499,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/423838-500-auto?v=636482196574300000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/porcion-de-salmon-congelado-x-300g/p,pescados,pescados-y-mariscos
SUPERBE,Salmón Ahumado Congelado 200 Gr,$10.490,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/423751-500-auto?v=636482194339930000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/salmon-ahumado-congelado-200-gr/p,pescados,pescados-y-mariscos
SIN MARCA,Medallones De Merluza Clasicos Rebozados Por Kg,$4.990,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/496105-500-auto?v=636774294657270000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/medallones-de-merluza-clasicos-rebozados-por-kg/p,pescados,pescados-y-mariscos
SIN MARCA,Filet De Merluza A La Romana Por Kg,$12.490,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/428169-500-auto?v=636495161869500000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/filet-de-merluza-a-la-romana-por-kg-2/p,pescados,pescados-y-mariscos
SIN MARCA,Penca De Pacú Despinado Por Kg,$12.990,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/552032-500-auto?v=637073106996900000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/penca-de-pacu-despinado-por-kg/p,pescados,pescados-y-mariscos
SIN MARCA,Filet De Merluza Sin Espinas Congelado 1 Kg,$8.990,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/826136-500-auto?v=638549234337370000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/filet-de-merluza-sin-espinas-congelado-1-kg/p,pescados,pescados-y-mariscos
SIN MARCA,Filet De Abadejo Congelado Por Kg,"$11.992,5",$15.990,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/428187-500-auto?v=636495163192400000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/filet-de-abadejo-congelado-por-kg/p,pescados,pescados-y-mariscos
SUPERBE,Medallones De Salmon X 200 Gr,"$2.849,25",$3.799,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/423746-500-auto?v=636482194319530000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/medallones-de-salmon-x-200-gr/p,pescados,pescados-y-mariscos
SIN MARCA,Medallon De Merluza Natural Por Kg,"$4.724,25",$6.299,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/496102-500-auto?v=636774294646330000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/medallon-de-merluza-natural-por-kg/p,pescados,pescados-y-mariscos
